"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_evidence_contains_raw_line","tests.rules","2026-06-17","passed","2026-06-17","TestIncidentAttributes","test_suspicious_sudo","",""
"","0","test_fires_at_threshold[2-True]","tests.rules","2026-06-17","passed","2026-06-17","TestThreshold","test_user_enumeration","",""
"","0","test_severity_is_high","tests.rules","2026-06-17","passed","2026-06-17","TestIncidentAttributes","test_web_scanner","",""
"","13","test_valid_line_parses_correctly[failed_password_valid_user]","tests.parsers","2026-06-17","passed","2026-06-17","","test_auth_parser","",""
"","0","test_per_protocol_threshold[2-1-2-False]","tests.rules","2026-06-17","passed","2026-06-17","TestThresholdEnforcement","test_cross_protocol","",""
"","0","test_critical_evidence_includes_all_evidence","tests.rules","2026-06-17","passed","2026-06-17","TestSuccessEscalation","test_web_brute_force","",""
"CRITICAL only when server returned 200; otherwise HIGH.","0","test_severity_depends_on_response_code[200-Severity.CRITICAL]","tests.rules","2026-06-17","passed","2026-06-17","","test_sql_injection","",""
"","0","test_no_filters_returns_all_events_in_ttl","tests.rules","2026-06-17","passed","2026-06-17","TestQuery","test_ip_tracker","",""
"","0","test_evidence_contains_raw_lines","tests.rules","2026-06-17","passed","2026-06-17","TestIncidentAttributes","test_user_enumeration","",""
"","0","test_fires_at_distinct_path_threshold[3-False]","tests.rules","2026-06-17","passed","2026-06-17","TestThreshold","test_web_scanner","",""
"","0","test_description_contains_path","tests.rules","2026-06-17","passed","2026-06-17","TestIncidentAttributes","test_path_traversal","",""
"","0","test_sql_injection_true_positive[union_select_nulls]","tests.rules","2026-06-17","passed","2026-06-17","","test_sql_injection","",""
"","0","test_mix_of_403_and_404_both_contribute","tests.rules","2026-06-17","passed","2026-06-17","TestThreshold","test_web_scanner","",""
"","0","test_all_events_evicted_leaves_empty_result","tests.rules","2026-06-17","passed","2026-06-17","TestEviction","test_ip_tracker","",""
"","0","test_403_triggers","tests.rules","2026-06-17","passed","2026-06-17","TestStatusCodeGating","test_web_scanner","",""
"","0","test_sql_injection_no_false_positive[name_obrien]","tests.rules","2026-06-17","passed","2026-06-17","","test_sql_injection","",""
"","0","test_rule_name","tests.rules","2026-06-17","passed","2026-06-17","TestIncidentAttributes","test_path_traversal","",""
"","0","test_sql_injection_no_false_positive[equality_without_or]","tests.rules","2026-06-17","passed","2026-06-17","","test_sql_injection","",""
"","0","test_post_200_after_failures_fires_critical","tests.rules","2026-06-17","passed","2026-06-17","TestSuccessEscalation","test_web_brute_force","",""
"","0","test_different_ips_tracked_independently","tests.rules","2026-06-17","passed","2026-06-17","TestThreshold","test_web_scanner","",""
"","0","test_success_with_no_prior_failures_is_silent","tests.rules","2026-06-17","passed","2026-06-17","TestSuccessEscalation","test_ssh_brute_force","",""
"","0","test_attempts_outside_window_not_counted","tests.rules","2026-06-17","passed","2026-06-17","TestWindow","test_user_enumeration","",""
"","0","test_valid_clf_line_parses_correctly[post_login_401]","tests.parsers","2026-06-17","passed","2026-06-17","","test_web_parser","",""
"","0","test_no_fire_with_only_web_failures","tests.rules","2026-06-17","passed","2026-06-17","TestSingleProtocol","test_cross_protocol","",""
"","0","test_valid_line_parses_correctly[accepted_publickey]","tests.parsers","2026-06-17","passed","2026-06-17","","test_auth_parser","",""
"","1","test_web_entries_are_ignored","tests.rules","2026-06-17","passed","2026-06-17","TestEntryGating","test_user_enumeration","",""
"","0","test_non_403_404_codes_are_ignored[302]","tests.rules","2026-06-17","passed","2026-06-17","TestStatusCodeGating","test_web_scanner","",""
"","0","test_non_403_404_codes_are_ignored[200]","tests.rules","2026-06-17","passed","2026-06-17","TestStatusCodeGating","test_web_scanner","",""
"","0","test_severity_is_high","tests.rules","2026-06-17","passed","2026-06-17","TestIncidentAttributes","test_rapid_request","",""
"SuspiciousSudoRule has no _alerted guard — fires on each match.","0","test_every_matching_entry_produces_an_incident","tests.rules","2026-06-17","passed","2026-06-17","TestStateless","test_suspicious_sudo","",""
"","0","test_non_sensitive_command_does_not_fire[/usr/bin/journalctl -u ssh]","tests.rules","2026-06-17","passed","2026-06-17","TestNonSensitiveCommands","test_suspicious_sudo","",""
"
AuthEntry.username can be None for malformed entries; the rule
stores '?' as a safe placeholder so the incident description is clean.
","0","test_none_username_stored_as_placeholder","tests.rules","2026-06-17","passed","2026-06-17","TestUsernameDeduplication","test_user_enumeration","",""
"","0","test_fires_at_distinct_path_threshold[7-True]","tests.rules","2026-06-17","passed","2026-06-17","TestThreshold","test_web_scanner","",""
"","0","test_sensitive_command_fires_critical[/bin/cat /etc/passwd]","tests.rules","2026-06-17","passed","2026-06-17","TestSensitiveTargets","test_suspicious_sudo","",""
"","0","test_auth_entries_are_ignored","tests.rules","2026-06-17","passed","2026-06-17","","test_web_scanner","",""
